Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Operating != Published,Rank by Passenger Count
201105,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,10430,False,8315.0
200908,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10428,False,8316.5
200903,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,10428,False,8316.5
201408,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10427,False,8318.0
201709,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10424,False,8319.0
200606,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,10421,False,8320.5
201710,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,10421,False,8320.5
200609,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,10419,False,8322.0
201106,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10418,False,8323.0
201001,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,C,10416,False,8324.0
201405,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10413,True,8325.0
201709,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,G,10410,False,8326.0
201411,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,10408,False,8327.0
201202,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10407,False,8328.5
201305,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10407,False,8328.5
201706,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,10403,False,8330.0
201802,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,10401,False,8331.0
201201,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10400,False,8332.0
200601,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,10399,False,8333.5
201601,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,10399,False,8333.5
200710,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10397,False,8335.0
201312,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10394,False,8336.5
201204,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10394,False,8336.5
201308,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10393,False,8338.0
201404,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,10390,False,8339.0
201608,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,10389,False,8340.0
